Year,Month,Mdate,Sensor_Name,Count,Rank
2009,August,17,Flagstaff Station,25002,5.0
2009,August,17,Princes Bridge,19934,6.0
2009,August,17,State Library,17983,7.0
2009,August,17,Bourke Street Mall (North),17751,8.0
2009,August,17,Australia on Collins,16904,9.0
2009,August,17,Collins Place (South),13134,10.0
2009,August,18,Town Hall (West),31931,1.0
2009,August,18,Melbourne Central,26251,2.0
2009,August,18,Flinders Street Station Underpass,25947,3.0
2009,August,18,Flagstaff Station,25642,4.0
2009,August,18,Bourke Street Mall (South),24825,5.0
2009,August,18,Princes Bridge,21027,6.0
2009,August,18,State Library,18422,7.0
2009,August,18,Bourke Street Mall (North),17411,8.0
2009,August,18,Australia on Collins,16726,9.0
2009,August,18,Collins Place (South),13619,10.0
2009,August,19,Town Hall (West),34104,1.0
2009,August,19,Bourke Street Mall (South),27276,2.0
2009,August,19,Melbourne Central,27232,3.0
2009,August,19,Flinders Street Station Underpass,26891,4.0
2009,August,19,Flagstaff Station,25295,5.0
2009,August,19,Princes Bridge,25078,6.0
2009,August,19,State Library,19181,7.0
2009,August,19,Bourke Street Mall (North),18408,8.0
2009,August,19,Australia on Collins,17408,9.0
2009,August,19,Collins Place (South),14079,10.0
2009,August,20,Town Hall (West),33930,1.0
2009,August,20,Bourke Street Mall (South),28348,2.0
2009,August,20,Melbourne Central,27090,3.0
2009,August,20,Flagstaff Station,26776,4.0
2009,August,20,Flinders Street Station Underpass,25758,5.0
2009,August,20,Princes Bridge,21929,6.0
2009,August,20,State Library,18872,7.0
2009,August,20,Bourke Street Mall (North),18665,8.0
2009,August,20,Australia on Collins,17766,9.0
2009,August,20,Collins Place (South),14228,10.0
2009,August,21,Town Hall (West),41733,1.0
2009,August,21,Bourke Street Mall (South),33760,2.0
2009,August,21,Melbourne Central,31101,3.0
2009,August,21,Flinders Street Station Underpass,27771,4.0
2009,August,21,Princes Bridge,25480,5.0
2009,August,21,Bourke Street Mall (North),24307,6.0
2009,August,21,Flagstaff Station,22554,7.0
2009,August,21,Australia on Collins,20117,8.0
2009,August,21,State Library,19720,9.0
2009,August,21,Collins Place (South),13705,10.0
2009,August,22,Town Hall (West),36938,1.0
