Year,Month,Sensor_Name,Count,Rank
2020,December,Princes Bridge,731645,4.0
2020,December,Bourke Street Mall (North),714656,5.0
2020,December,Southbank,580074,6.0
2020,December,Bourke Street Mall (South),512225,7.0
2020,December,Flinders Street Station Underpass,494740,8.0
2020,December,Elizabeth St-La Trobe St (East),479460,9.0
2020,December,Melbourne Central-Elizabeth St (East),477188,10.0
2020,February,Flinders St-Elizabeth St (East),1209332,1.0
2020,February,Flinders La-Swanston St (West),1174631,2.0
2020,February,Flinders Street Station Underpass,1006221,3.0
2020,February,Southbank,1002477,4.0
2020,February,Princes Bridge,942341,5.0
2020,February,Town Hall (West),905988,6.0
2020,February,Spencer St-Collins St (North),888466,7.0
2020,February,Bourke Street Mall (North),799619,8.0
2020,February,Melbourne Central,741496,9.0
2020,February,The Arts Centre,701412,10.0
2020,January,Flinders La-Swanston St (West),1354171,1.0
2020,January,Flinders St-Elizabeth St (East),1290280,2.0
2020,January,Princes Bridge,1247383,3.0
2020,January,Town Hall (West),1030896,4.0
2020,January,Flinders Street Station Underpass,1019459,5.0
2020,January,Spencer St-Collins St (North),935880,6.0
2020,January,Southbank,910977,7.0
2020,January,The Arts Centre,893317,8.0
2020,January,Bourke Street Mall (North),892048,9.0
2020,January,Melbourne Convention Exhibition Centre,771333,10.0
2020,July,Flinders St-Elizabeth St (East),391523,1.0
2020,July,Flinders La-Swanston St (West),290935,2.0
2020,July,Elizabeth St-La Trobe St (East),287679,3.0
2020,July,Town Hall (West),222709,4.0
2020,July,Bourke Street Mall (North),216577,5.0
2020,July,Melbourne Central-Elizabeth St (East),205960,6.0
2020,July,Melbourne Central,193613,7.0
2020,July,Spencer St-Collins St (North),182899,8.0
2020,July,Princes Bridge,169971,9.0
2020,July,Melbourne Convention Exhibition Centre,168589,10.0
2020,June,Flinders St-Elizabeth St (East),557724,1.0
2020,June,Flinders La-Swanston St (West),482013,2.0
2020,June,Bourke Street Mall (North),424476,3.0
2020,June,Town Hall (West),394408,4.0
2020,June,Elizabeth St-La Trobe St (East),385350,5.0
2020,June,Melbourne Central,352121,6.0
2020,June,Melbourne Central-Elizabeth St (East),302881,7.0
2020,June,State Library,277962,8.0
2020,June,State Library-New,277962,8.0
2020,June,Princes Bridge,274311,10.0
2020,March,Flinders St-Elizabeth St (East),960996,1.0
2020,March,Southbank,816192,2.0
2020,March,Flinders La-Swanston St (West),813394,3.0
2020,March,Flinders Street Station Underpass,660488,4.0
2020,March,Town Hall (West),634135,5.0
2020,March,Princes Bridge,595265,6.0
2020,March,Spencer St-Collins St (North),586391,7.0
2020,March,Bourke Street Mall (North),560956,8.0
2020,March,Melbourne Central,560572,9.0
2020,March,Elizabeth St-La Trobe St (East),532240,10.0
2020,May,Flinders St-Elizabeth St (East),445791,1.0
2020,May,Elizabeth St-La Trobe St (East),299323,2.0
2020,May,Flinders La-Swanston St (West),284010,3.0
2020,May,Bourke Street Mall (North),269797,4.0
2020,May,Town Hall (West),245937,5.0
2020,May,Southbank,240025,6.0
2020,May,Melbourne Central,221395,7.0
2020,May,Melbourne Central-Elizabeth St (East),212147,8.0
2020,May,Spencer St-Collins St (North),210379,9.0
2020,May,Flinders Street Station Underpass,190959,10.0
2020,November,Flinders La-Swanston St (West),602980,1.0
2020,November,Flinders St-Elizabeth St (East),558750,2.0
2020,November,Bourke Street Mall (North),498611,3.0
2020,November,Town Hall (West),490630,4.0
2020,November,Melbourne Central,425215,5.0
2020,November,Elizabeth St-La Trobe St (East),393471,6.0
2020,November,Melbourne Central-Elizabeth St (East),366156,7.0
2020,November,Princes Bridge,364502,8.0
2020,November,Southbank,361771,9.0
2020,November,Flinders Street Station Underpass,324248,10.0
2020,October,Flinders St-Elizabeth St (East),357418,1.0
2020,October,Flinders La-Swanston St (West),265184,2.0
2020,October,Elizabeth St-La Trobe St (East),260093,3.0
2020,October,Melbourne Central,200440,4.0
2020,October,Town Hall (West),198010,5.0
2020,October,Southbank,193587,6.0
2020,October,Melbourne Convention Exhibition Centre,193419,7.0
2020,October,Melbourne Central-Elizabeth St (East),190966,8.0
2020,October,Princes Bridge,184081,9.0
2020,October,Flinders Street Station Underpass,162612,10.0
2020,September,Flinders St-Elizabeth St (East),276070,1.0
2020,September,Elizabeth St-La Trobe St (East),195295,2.0
2020,September,Flinders La-Swanston St (West),161884,3.0
2020,September,Melbourne Convention Exhibition Centre,155748,4.0
2020,September,Southbank,153717,5.0
2020,September,Melbourne Central-Elizabeth St (East),135639,6.0
2020,September,QV Market-Elizabeth St (West),125332,7.0
2020,September,Melbourne Central,114151,8.0
2020,September,Princes Bridge,112820,9.0
2020,September,Town Hall (West),112765,10.0
2021,April,Flinders La-Swanston St (West),1005610,1.0
2021,April,Princes Bridge,759926,2.0
2021,April,Town Hall (West),743653,3.0
2021,April,Flinders St-Elizabeth St (East),664671,4.0
2021,April,Bourke Street Mall (North),612164,5.0
2021,April,Flinders Street Station Underpass,564776,6.0
2021,April,The Arts Centre,563047,7.0
2021,April,Elizabeth St-La Trobe St (East),510336,8.0
2021,April,State Library,503175,9.0
2021,April,State Library-New,503175,9.0
2021,February,Flinders La-Swanston St (West),632923,1.0
2021,February,Flinders St-Elizabeth St (East),517017,2.0
2021,February,Princes Bridge,515746,3.0
2021,February,Town Hall (West),456419,4.0
2021,February,Elizabeth St-La Trobe St (East),371647,5.0
2021,February,Flinders Street Station Underpass,355201,6.0
2021,February,Bourke Street Mall (North),354240,7.0
2021,February,The Arts Centre,317626,8.0
2021,February,Melbourne Convention Exhibition Centre,309576,9.0
2021,February,Melbourne Central-Elizabeth St (East),293808,10.0
2021,January,Flinders La-Swanston St (West),746069,1.0
2021,January,Princes Bridge,657882,2.0
2021,January,Flinders St-Elizabeth St (East),639360,3.0
2021,January,Town Hall (West),558664,4.0
2021,January,Bourke Street Mall (North),459859,5.0
2021,January,Southbank,433834,6.0
2021,January,Elizabeth St-La Trobe St (East),425889,7.0
2021,January,Flinders Street Station Underpass,412406,8.0
2021,January,The Arts Centre,407448,9.0
2021,January,Melbourne Central-Elizabeth St (East),361790,10.0
2021,July,Flinders La-Swanston St (West),709195,1.0
2021,July,Flinders St-Elizabeth St (East),587906,2.0
2021,July,Princes Bridge,526115,3.0
2021,July,Southbank,499399,4.0
2021,July,Town Hall (West),483035,5.0
2021,July,The Arts Centre,408728,6.0
2021,July,Elizabeth St-La Trobe St (East),405882,7.0
2021,July,Bourke Street Mall (North),397827,8.0
2021,July,Flinders Street Station Underpass,363938,9.0
2021,July,State Library,343527,10.0
2021,July,State Library-New,343527,10.0
2021,June,Flinders La-Swanston St (West),574050,1.0
2021,June,Flinders St-Elizabeth St (East),484247,2.0
2021,June,Southbank,426190,3.0
2021,June,Town Hall (West),415985,4.0
2021,June,Elizabeth St-La Trobe St (East),369319,5.0
2021,June,Princes Bridge,358617,6.0
2021,June,Bourke Street Mall (North),349759,7.0
2021,June,State Library,309081,8.0
2021,June,State Library-New,309081,8.0
2021,June,Melbourne Central-Elizabeth St (East),295397,10.0
2021,March,Flinders La-Swanston St (West),909361,1.0
2021,March,Flinders St-Elizabeth St (East),676032,2.0
2021,March,Princes Bridge,660726,3.0
2021,March,Town Hall (West),650570,4.0
2021,March,Bourke Street Mall (North),523660,5.0
2021,March,Flinders Street Station Underpass,510400,6.0
2021,March,Elizabeth St-La Trobe St (East),470084,7.0
2021,March,State Library,462712,8.0
2021,March,State Library-New,462712,8.0
2021,March,The Arts Centre,458441,10.0
2021,May,Flinders La-Swanston St (West),824586,1.0
2021,May,Southbank,701947,2.0
2021,May,Town Hall (West),611918,3.0
2021,May,Elizabeth St-La Trobe St (East),477794,4.0
2021,May,State Library-New,443760,5.0
2021,May,The Arts Centre,411164,6.0
2021,May,Melbourne Central-Elizabeth St (East),395912,7.0
2021,May,Bourke St Bridge,327075,8.0
2021,May,Bourke St - Spencer St (North),311382,9.0
2021,May,Little Collins St-Swanston St (East),309709,10.0
